last_name,first_name
Adams,Douglas
Adams,Richard
Archer,Jeffrey
Auel,Jean
Austen,Jane
Blackman,Malorie
Blyton,Enid
Bradsky, Gary
Bronte,Charlotte
Bronte,Emily
Brown, Dan
Cabot,Meg
Camus, Albert
Capra, Fritjof
Carroll,Lewis
Coelho,Paulo
Colfer,Eoin
Collins,Wilkie
Conway, Drew
Cormen, Thomas
Crichton, Michael
Dahl,Roald
Dalrymple, William
de Bernieres,Louis
Deb, Siddhartha
Deshpande, P L
Deshpande, Sunita
Dickens,Charles
Dostoyevsky,Fyodor
Doyle, Arthur Conan
du Maurier,Daphne
Dubner, Stephen
Dumas,Alexandre
Durant, Will
Dylan, Bob
Eliot,George
Eraly, Abraham
Faulks,Sebastian
Feist,Raymond
Feynman, Richard
Fielding,Helen
Fitzgerald,F Scott
Follett, Ken
Follett,Ken
Foreman, John
Forsyth, Frederick
Forsyth, David
Fowles,John
Garcia Marquez,Gabriel
Garg, Sanjay
Ghosh, Amitav
Gibbons,Stella
Golden,Arthur
Golding,William
Goswami, Jaideva
Grahame,Kenneth
Greene, W. H.
Grisham, John
Gupta, Madan
Hansberry, Lorraine
Hardy,Thomas
Hawking, Stephen
Heisenberg, Werner
Heller, Joseph
Heller,Joseph
Hemingway, Ernest
Herbert,Frank
Hodgson Burnett,Frances
Huxley,Aldous
Irving,John
Joyce,James
Kafka, Frank
Kanetkar, Yashwant
Kerouac,Jack
King,Stephen
Konnikova, Maria
Lee,Harper
Lewis,CS
Louis Stevenson,Robert
Magorian,Michelle
May Alcott,Louisa
McCollough,Colleen
McKinney, Wes
Menon, V P
Milne,AA
Mitchell,Margaret
Mlodinow, Leonard
Montgomery,LM
Naipaul, V. S.
Nayar, Kuldip
Nisbet, Robert
Oram, Andy
Orwell,George
Pausch, Randy
Peake,Mervyn
Pilcher,Rosamunde
Poe, Edgar Allen
Pratchett,Terry
Pratt, John
Pullman,Philip
Puzo,Mario
Rand, Ayn
Ransome,Arthur
Rowling,JK
Roy,Arundhati
Rushdie,Salman
Sachar,Louis
Said, Edward
Salinger,JD
Sen, Amartya
Seth,Vikram
Seton,Anya
Sewell,Anna
Shih,Frank
Shute,Nevil
Silver,Nate
Smith, Adam
Smith,Dodie
Steinbeck,John
Steinbeck,John
Stonier, Alfred
Stroud, Jonathan
Suskind,Patrick
Sussman, Gerald
Tanenbaum, Andrew
Tao, Terence
Tartt,Donna
Taub,Schilling
Tolkien,JRR
Tolstoy,Leo
Tressell,Robert
Vapnik, Vladimir
Villani, Cedric
Vonnegut, Kurt
Waugh,Evelyn
Wells, H. G.
Wilson,Jacqueline
Woodward, Bob
